iter	Passed	Remaining
614	16046	10045
615	16069	10017
616	16094	9990
617	16118	9963
618	16143	9936
619	16167	9908
620	16192	9882
621	16216	9855
622	16239	9827
623	16263	9799
624	16288	9773
625	16313	9746
626	16339	9720
627	16363	9693
628	16411	9680
629	16437	9653
630	16461	9626
631	16485	9599
632	16510	9572
633	16534	9545
634	16558	9517
635	16583	9491
636	16608	9464
637	16632	9437
638	16657	9410
639	16681	9383
640	16706	9356
641	16729	9328
642	16755	9303
643	16781	9276
644	16806	9250
645	16831	9223
646	16855	9196
647	16877	9167
648	16898	9139
649	16920	9110
650	16941	9082
651	16963	9054
652	16987	9027
653	17012	9000
654	17036	8973
655	17060	8946
656	17084	8919
657	17106	8891
658	17129	8863
659	17152	8836
660	17175	8808
661	17198	8781
662	17224	8755
663	17248	8728
664	17273	8701
665	17296	8674
666	17321	8647
667	17345	8620
668	17368	8593
669	17393	8566
670	17416	8539
671	17440	8512
672	17466	8486
673	17489	8459
674	17513	8432
675	17537	8405
676	17562	8379
677	17588	8353
678	17614	8327
679	17636	8299
680	17660	8272
681	17683	8245
682	17709	8219
683	17735	8193
684	17762	8168
685	17786	8141
686	17810	8114
687	17832	8086
688	17856	8060
689	17882	8033
690	17906	8007
691	17931	7980
692	17953	7953
693	17975	7925
694	17997	7898
695	18021	7871
696	18043	7843
697	18065	7816
698	18087	7788
699	18109	7761
700	18131	7733
701	18154	7706
702	18176	7679
703	18197	7651
704	18219	7623
705	18241	7596
706	18265	7569
707	18288	7542
708	18310	7515
709	18332	7488
710	18357	7461
711	18379	7434
712	18404	7408
713	18428	7381
714	18449	7353
715	18474	7327
716	18499	7301
717	18523	7275
718	18546	7248
719	18569	7221
720	18594	7195
721	18620	7169
722	18643	7142
723	18666	7116
724	18689	7089
725	18712	7062
726	18736	7035
727	18758	7008
728	18780	6981
729	18803	6954
730	18825	6927
731	18849	6901
732	18876	6875
733	18897	6848
734	18917	6820
735	18939	6793
736	18963	6767
737	18985	6740
738	19008	6713
739	19033	6687
740	19055	6660
741	19076	6633
742	19098	6606
743	19122	6579
744	19144	6552
745	19167	6526
746	19190	6499
747	19215	6473
748	19240	6447
749	19264	6421
750	19288	6395
751	19314	6369
752	19337	6343
753	19360	6316
754	19385	6290
